utime Server CPU Memory Users
1447718520 nyc-bc-rp-02 0 16 0
1447718520 nyc-bc-sg-01 12 21 1898
1447718520 nyc-bc-sg-02 22 22 1829
1447718520 nyc-bc-sg-03 16 22 1701
1447718520 syd-bc-ce-01 17 66 468
1447718520 syd-bc-ce-02 2 51 84
1447718580 chn-bc-ce-01 0 41 1
1447718580 chn-bc-ce-02 0 40 1
1447718580 chn-bc-ce-03 0 30 82
1447718580 chn-bc-sg-01 5 22 567
1447718580 chn-bc-sg-02 6 22 555
1447718580 lon-bc-sg-01 8 21 1846
1447718580 lon-bc-sg-02 9 20 1591
1447718580 tok-bc-ce-01 2 36 349
1447718580 tok-bc-ce-02 2 26 262
1447718580 tok-bc-sg-01 22 24 1975
1447718580 snd-bc-sg-01 7 24 413
1447718580 snd-bc-sg-02 9 23 358
1447718580 bos-bc-ce-03 1 17 0
1447718580 bos-bc-ce-04 1 24 0
1447718580 bos-bc-drp-01 25 55 11472
1447718580 bos-bc-drp-02 23 55 11425
1447718580 bos-bc-rp-01 3 16 71
1447718580 bos-bc-sg-01 12 23 1672
1447718580 bos-bc-sg-02 13 20 1627
1447718580 bos-bc-sg-03 12 20 1434
1447718580 sng-bc-ce-01 1 25 252
1447718580 sng-bc-ce-02 1 26 81
1447718580 sng-bc-sg-01 2 19 213
1447718580 sng-bc-sg-02 10 24 1800
1447718580 kor-bc-ce-01 12 58 148
1447718580 kor-bc-ce-02 2 45 49
1447718580 nyc-bc-ce-05 1 15 3
1447718580 nyc-bc-ce-06 0 30 1
1447718580 nyc-bc-drp-01 0 20 1
1447718580 nyc-bc-drp-02 0 20 2
1447718580 nyc-bc-rp-01 1 24 0
1447718580 nyc-bc-rp-02 0 16 0
1447718580 nyc-bc-sg-01 14 21 1902
1447718580 nyc-bc-sg-02 23 22 1821
1447718580 nyc-bc-sg-03 13 22 1694
1447718580 syd-bc-ce-01 16 66 469
1447718580 syd-bc-ce-02 2 51 83
1447718640 chn-bc-ce-01 0 41 2
1447718640 chn-bc-ce-02 0 40 2
1447718640 chn-bc-ce-03 0 30 70
1447718640 chn-bc-sg-01 7 22 570
1447718640 chn-bc-sg-02 7 22 569
1447718640 lon-bc-sg-01 11 21 1827
1447718640 lon-bc-sg-02 9 20 1586
1447718640 tok-bc-ce-01 2 35 356
1447718640 tok-bc-ce-02 3 26 261
1447718640 tok-bc-sg-01 25 25 2004
1447718640 snd-bc-sg-01 7 24 407
1447718640 snd-bc-sg-02 8 23 358
1447718640 bos-bc-ce-03 1 17 1
1447718640 bos-bc-ce-04 1 24 0
1447718640 bos-bc-drp-01 27 55 11524
1447718640 bos-bc-drp-02 25 55 11538
1447718640 bos-bc-rp-01 3 16 71
1447718640 bos-bc-sg-01 12 23 1671
1447718640 bos-bc-sg-02 13 20 1606
1447718640 bos-bc-sg-03 13 20 1439
1447718640 sng-bc-ce-01 1 25 237
1447718640 sng-bc-ce-02 1 26 90
1447718640 sng-bc-sg-01 2 19 213
1447718640 sng-bc-sg-02 9 24 1787
1447718640 kor-bc-ce-01 12 58 156
1447718640 kor-bc-ce-02 1 45 50
1447718640 nyc-bc-ce-05 1 15 4
